source address,destination address,opcode,timestamp,counter,ONU_id,start,end
ff:ff:ff:ff:00:01,00:00:00:00:66:162,02,0.00142857142857,0,2,0.00142857142857,0.00212076190476
ff:ff:ff:ff:00:01,00:00:00:00:196:231,02,0.00259795238095,0,1,0.00259795238095,0.00336214285714
ff:ff:ff:ff:00:01,00:00:00:00:231:175,02,0.00383933333333,0,0,0.00383933333333,0.00460352380952
ff:ff:ff:ff:00:01,00:00:00:00:66:162,02,0.00508071428571,1,2,0.00508071428571,0.0059169047619
ff:ff:ff:ff:00:01,00:00:00:00:196:231,02,0.0063940952381,1,1,0.0063940952381,0.00730228571429
ff:ff:ff:ff:00:01,00:00:00:00:231:175,02,0.00777947619048,1,0,0.00777947619048,0.00897566666667
ff:ff:ff:ff:00:01,00:00:00:00:66:162,02,0.00945285714286,2,2,0.00945285714286,0.010289047619
ff:ff:ff:ff:00:01,00:00:00:00:196:231,02,0.0107662380952,2,1,0.0107662380952,0.0118904285714
ff:ff:ff:ff:00:01,00:00:00:00:231:175,02,0.0123676190476,2,0,0.0123676190476,0.0134198095238
ff:ff:ff:ff:00:01,00:00:00:00:66:162,02,0.013897,3,2,0.013897,0.0153811904762
ff:ff:ff:ff:00:01,00:00:00:00:196:231,02,0.0158583809524,3,1,0.0158583809524,0.0174145714286
ff:ff:ff:ff:00:01,00:00:00:00:231:175,02,0.0178917619048,3,0,0.0178917619048,0.019159952381
ff:ff:ff:ff:00:01,00:00:00:00:66:162,02,0.0196371428571,4,2,0.0196371428571,0.0214093333333
ff:ff:ff:ff:00:01,00:00:00:00:196:231,02,0.0218865238095,4,1,0.0218865238095,0.0233707142857
ff:ff:ff:ff:00:01,00:00:00:00:231:175,02,0.0238479047619,4,0,0.0238479047619,0.0250440952381
ff:ff:ff:ff:00:01,00:00:00:00:66:162,02,0.0255212857143,5,2,0.0255212857143,0.0270774761905
ff:ff:ff:ff:00:01,00:00:00:00:196:231,02,0.0275546666667,5,1,0.0275546666667,0.0287508571429
ff:ff:ff:ff:00:01,00:00:00:00:231:175,02,0.029228047619,5,0,0.029228047619,0.0312882380952
ff:ff:ff:ff:00:01,00:00:00:00:66:162,02,0.0317654285714,6,2,0.0317654285714,0.0331776190476
ff:ff:ff:ff:00:01,00:00:00:00:196:231,02,0.0336548095238,6,1,0.0336548095238,0.034995
ff:ff:ff:ff:00:01,00:00:00:00:231:175,02,0.0354721904762,6,0,0.0354721904762,0.0365963809524
ff:ff:ff:ff:00:01,00:00:00:00:66:162,02,0.0370735714286,7,2,0.0370735714286,0.0391337619048
ff:ff:ff:ff:00:01,00:00:00:00:196:231,02,0.039610952381,7,1,0.039610952381,0.0411671428571
ff:ff:ff:ff:00:01,00:00:00:00:231:175,02,0.0416443333333,7,0,0.0416443333333,0.0432005238095
ff:ff:ff:ff:00:01,00:00:00:00:66:162,02,0.0436777142857,8,2,0.0436777142857,0.0450899047619
ff:ff:ff:ff:00:01,00:00:00:00:196:231,02,0.0455670952381,8,1,0.0455670952381,0.0469072857143
ff:ff:ff:ff:00:01,00:00:00:00:231:175,02,0.0473844761905,8,0,0.0473844761905,0.0492286666667
ff:ff:ff:ff:00:01,00:00:00:00:66:162,02,0.0497058571429,9,2,0.0497058571429,0.050974047619
ff:ff:ff:ff:00:01,00:00:00:00:196:231,02,0.0514512380952,9,1,0.0514512380952,0.0527914285714
ff:ff:ff:ff:00:01,00:00:00:00:231:175,02,0.0532686190476,9,0,0.0532686190476,0.0549688095238
ff:ff:ff:ff:00:01,00:00:00:00:66:162,02,0.055446,10,2,0.055446,0.0567141904762
ff:ff:ff:ff:00:01,00:00:00:00:196:231,02,0.0571913809524,10,1,0.0571913809524,0.0585315714286
ff:ff:ff:ff:00:01,00:00:00:00:231:175,02,0.0590087619048,10,0,0.0590087619048,0.060348952381
ff:ff:ff:ff:00:01,00:00:00:00:66:162,02,0.0608261428571,11,2,0.0608261428571,0.0625263333333
ff:ff:ff:ff:00:01,00:00:00:00:196:231,02,0.0630035238095,11,1,0.0630035238095,0.0646317142857
ff:ff:ff:ff:00:01,00:00:00:00:231:175,02,0.0651089047619,11,0,0.0651089047619,0.0665210952381
ff:ff:ff:ff:00:01,00:00:00:00:66:162,02,0.0669982857143,12,2,0.0669982857143,0.0684104761905
ff:ff:ff:ff:00:01,00:00:00:00:196:231,02,0.0688876666667,12,1,0.0688876666667,0.0702998571429
ff:ff:ff:ff:00:01,00:00:00:00:231:175,02,0.070777047619,12,0,0.070777047619,0.0724772380952
ff:ff:ff:ff:00:01,00:00:00:00:66:162,02,0.0729544285714,13,2,0.0729544285714,0.0746546190476
ff:ff:ff:ff:00:01,00:00:00:00:196:231,02,0.0751318095238,13,1,0.0751318095238,0.076472
ff:ff:ff:ff:00:01,00:00:00:00:231:175,02,0.0769491904762,13,0,0.0769491904762,0.0782893809524
ff:ff:ff:ff:00:01,00:00:00:00:66:162,02,0.0787665714286,14,2,0.0787665714286,0.0805387619048
ff:ff:ff:ff:00:01,00:00:00:00:196:231,02,0.081015952381,14,1,0.081015952381,0.0826441428571
ff:ff:ff:ff:00:01,00:00:00:00:231:175,02,0.0831213333333,14,0,0.0831213333333,0.0845335238095
ff:ff:ff:ff:00:01,00:00:00:00:66:162,02,0.0850107142857,15,2,0.0850107142857,0.0862069047619
ff:ff:ff:ff:00:01,00:00:00:00:196:231,02,0.0866840952381,15,1,0.0866840952381,0.0883122857143
ff:ff:ff:ff:00:01,00:00:00:00:231:175,02,0.0887894761905,15,0,0.0887894761905,0.0904896666667
